Symbol,Exchange,Company,Currency,Price,Market Cap(Mil),US$ Market Cap($Mil),aEBTIDA*AT,ROE % (5y Median),Market Cap ($M),3 Year Total Revenue Growth Rate
NXPI,NAS,NXP Semiconductors NV,USD,87.51,25859.359,25859.359,23.49,25.32,25859.36,17.9
OMAB,NAS,Grupo Aeroportuario del Centro Norte SAB de CV,USD,44.21,2446.824,2446.824,24.27,20.68,2446.82,24.1
ORLY,NAS,O'Reilly Automotive Inc,USD,360.23,28473.991,28473.991,26.25,57.84,28473.99,6.2
OSB,TSX,Norbord Inc,CAD,36.93,3073.135,2331.489,32.14,30.92,2331.49,16.3
OSB,NYSE,Norbord Inc,USD,27.83,2307.924,2307.924,32.14,30.92,2307.92,16.3
PAYX,NAS,Paychex Inc,USD,74.26,26666.111,26666.111,20.62,40.94,26666.11,7.3
PLSQF,GREY,Plus500 Ltd,USD,21.14,2424.315,2424.315,92.67,107.36,2424.32,30.7
POOL,NAS,Pool Corp,USD,156.63,6306.44,6306.44,26.91,51.3,6306.44,7.5
POYYF,GREY,Polymetal International PLC,USD,11.2,5142.68,5142.68,21.83,30,5142.68,7.8
RACE,NYSE,Ferrari NV,USD,124.28,30323.91,30323.91,23.71,23.55,30323.91,7.3
REGN,NAS,Regeneron Pharmaceuticals Inc,USD,406.86,44460.517,44460.517,26.84,22.1,44460.52,27.7
RMR,NAS,The RMR Group Inc,USD,68.21,2130.177,2130.177,50.54,31.07,2130.18,28
ROL,NYSE,Rollins Inc,USD,37.86,12392.274,12392.274,35.59,30.64,12392.27,5.8
ROST,NAS,Ross Stores Inc,USD,92.95,34446.231,34446.231,40.71,43.15,34446.23,8.6
SBUX,NAS,Starbucks Corp,USD,69.75,86741.1,86741.1,28.17,49.73,86741.1,8.9
SEDG,NAS,SolarEdge Technologies Inc,USD,43.48,1989.278,1989.278,23.14,25.76,1989.28,65.8
SEIC,NAS,SEI Investments Co,USD,49.33,7578.765,7578.765,36.81,26.26,7578.77,6.4
SIRI,NAS,Sirius XM Holdings Inc,USD,5.93,28087.948,28087.948,26.97,56.74,28087.95,8.1
SNBR,NAS,Sleep Number Corp,USD,34.69,1152.263,1152.263,32,28.2,1152.26,7.7
SPGI,NYSE,S&P Global Inc,USD,193.59,48087.756,48087.756,32.18,219.84,48087.76,6.3
STBMF,GREY,St Barbara Ltd,USD,3.26,1830.085,1830.085,37.2,40.28,1830.09,7.4
STMP,NAS,Stamps.com Inc,USD,189.99,3439.204,3439.204,28.74,24.6,3439.2,47.1
SWKS,NAS,Skyworks Solutions Inc,USD,81.71,14222.824,14222.824,35.52,26.56,14222.82,5.9
THO,NYSE,Thor Industries Inc,USD,63.72,3508.644,3508.644,21.17,22.01,3508.64,27.6
TJX,NYSE,TJX Companies Inc,USD,48.94,60350.128,60350.128,33.73,53.15,60350.13,7.2
